S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,R10_x,R10_y,Capacity,Target_x,Target_y
1,4,4,5,2,9,9,9,7,4,0,6,8,3,3,6,9,5,8,2,7,5,1,5
2,0,5,9,4,7,3,5,0,2,6,4,1,1,3,9,7,7,2,4,5,3,1,9
3,6,1,0,6,5,7,1,7,2,8,4,4,6,4,5,9,0,1,0,8,4,8,0
4,5,2,5,4,2,4,4,8,8,2,6,7,4,1,2,5,3,6,5,7,4,0,1
5,0,8,9,8,6,7,9,5,3,2,5,5,2,9,1,7,9,1,1,1,4,4,8
6,0,4,2,4,6,2,2,8,4,7,5,9,8,4,0,6,3,4,2,6,5,6,7
7,3,8,2,8,8,5,2,3,5,9,8,6,6,5,7,5,5,1,6,2,3,0,9
8,7,6,4,4,6,5,8,1,7,8,4,0,8,6,5,2,5,5,4,8,4,6,7
9,3,7,2,1,2,8,7,2,0,1,7,8,1,5,4,3,1,7,0,4,4,8,0
10,6,9,5,5,2,2,0,4,1,7,9,2,5,2,6,1,9,4,2,4,4,7,7
11,6,0,3,0,8,9,5,6,2,7,0,9,8,2,8,5,8,6,7,8,4,9,0
12,1,3,5,7,7,0,4,4,6,0,4,1,8,5,8,8,9,7,2,9,4,0,3
13,6,7,2,8,8,2,0,2,1,7,7,4,6,9,4,8,3,0,0,0,4,7,6
14,2,8,9,7,1,7,0,9,6,6,8,6,2,4,9,9,1,1,0,5,4,6,5
15,3,4,9,5,8,9,1,2,5,8,9,8,1,4,7,1,2,9,4,4,5,0,5
16,4,2,5,2,3,5,5,8,4,3,8,9,7,2,2,8,6,9,3,6,4,0,2
17,0,4,1,9,3,0,0,2,3,6,1,7,2,6,2,7,2,9,1,3,3,6,7
18,8,6,4,7,1,1,7,1,6,0,2,6,2,0,0,1,6,3,7,8,4,4,2
19,8,2,0,8,3,3,3,1,4,0,3,4,9,1,8,1,2,9,1,6,4,9,7
20,1,2,6,3,1,7,9,9,8,9,5,2,8,6,8,5,0,4,7,5,5,7,9
21,7,6,0,9,2,9,8,6,0,5,5,7,5,6,0,1,7,3,4,0,4,1,3
22,8,9,7,7,7,0,9,1,0,7,3,6,7,8,3,3,9,5,3,8,5,8,0
23,2,2,7,8,7,5,1,4,8,8,3,8,1,8,2,5,2,8,2,6,5,5,9
24,4,9,1,8,8,5,4,5,0,1,4,6,9,1,8,4,9,9,3,5,3,3,8
25,8,8,2,5,3,6,9,2,7,0,5,5,4,4,5,0,4,9,4,0,5,3,5
26,8,9,8,6,0,2,3,6,8,3,6,6,1,9,4,5,9,8,7,7,4,8,8
27,6,9,4,2,8,3,7,5,8,8,0,0,9,7,6,5,1,5,5,5,4,2,9
28,0,7,8,8,7,0,9,2,9,9,5,4,0,5,0,0,7,6,6,5,5,6,3
29,3,3,1,5,8,7,1,2,9,2,3,2,9,0,2,0,0,3,8,2,5,0,7
30,5,4,1,3,1,2,7,1,3,5,6,9,8,1,2,3,8,4,5,0,3,9,7
31,0,3,7,4,7,0,7,1,6,1,3,5,4,2,4,3,7,3,8,3,4,6,8
32,5,0,5,7,5,5,8,8,9,7,5,3,8,7,1,5,6,6,1,6,3,7,6
33,9,4,2,9,1,4,1,2,5,8,3,6,3,9,3,5,5,2,3,0,5,8,6
34,5,8,9,5,8,6,5,5,9,8,1,9,6,7,7,6,4,2,5,2,3,3,9
35,3,9,0,2,4,1,9,3,0,6,4,5,3,3,9,8,1,7,0,1,3,5,9
36,5,4,1,8,1,0,2,0,7,5,2,7,6,6,9,0,6,3,6,5,4,7,6
37,3,9,8,6,9,0,2,0,6,3,2,3,1,2,2,1,3,1,9,4,4,4,8
38,0,7,5,5,6,8,0,6,5,4,2,6,1,8,8,8,9,1,5,3,3,2,8
39,6,1,4,5,4,4,4,0,4,1,1,2,4,8,6,4,9,2,5,7,4,5,1
40,0,1,3,7,1,1,9,7,0,6,6,2,8,1,2,4,3,6,2,6,3,1,8
41,0,9,3,6,1,9,2,2,5,8,8,2,3,8,8,1,9,2,8,0,3,0,6
42,8,2,4,0,1,3,9,8,8,1,6,3,9,3,3,3,2,8,6,2,5,5,2
43,8,1,7,7,5,0,3,5,7,5,7,6,5,8,6,5,9,3,0,2,5,4,9
44,5,3,3,7,2,2,5,1,7,7,6,9,3,3,0,9,0,5,7,1,5,1,0
45,0,3,3,9,7,4,1,0,9,9,1,8,2,5,5,2,0,2,2,1,4,9,5
46,3,5,1,7,4,9,7,4,2,3,8,7,8,0,2,6,9,3,3,7,4,3,1
47,5,1,0,4,4,7,5,5,2,6,1,6,6,7,0,8,0,5,1,4,4,9,9
48,4,6,5,8,0,6,6,9,9,0,1,9,7,3,2,4,8,8,6,6,4,4,3
49,7,2,5,4,6,2,6,4,9,0,8,2,0,4,2,2,1,5,5,9,4,1,0
50,8,0,8,6,6,4,7,0,0,8,9,4,6,0,8,7,2,9,2,6,3,3,1
