S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,Capacity,Target_x,Target_y
1,3,7,2,7,3,3,3,9,8
2,5,2,0,2,4,7,5,9,8
3,2,0,5,2,1,0,5,1,3
4,6,4,5,9,4,9,3,8,3
5,9,1,6,8,2,0,4,9,9
6,6,1,2,3,5,5,3,6,0
7,1,9,5,4,6,2,4,4,2
8,5,9,7,6,1,5,4,2,1
9,8,4,4,0,7,4,4,3,4
10,5,9,7,3,7,8,3,6,1
11,0,4,6,9,5,8,5,5,9
12,6,2,2,7,1,3,4,0,6
13,2,9,7,7,3,0,3,6,5
14,9,5,6,7,6,1,5,1,0
15,6,6,2,6,9,8,5,9,6
16,1,3,4,8,8,9,3,7,6
17,8,3,4,8,5,8,4,3,7
18,9,0,5,7,0,5,5,5,8
19,2,5,7,6,2,6,4,1,4
20,7,7,8,9,4,9,5,5,8
21,7,8,2,8,4,2,5,1,0
22,6,2,9,9,0,0,5,2,2
23,1,0,5,2,8,2,3,0,0
24,7,1,1,2,3,2,4,4,5
25,1,1,2,3,6,9,3,0,6
26,8,4,9,9,9,1,3,2,3
27,5,3,3,8,5,2,5,9,2
28,1,0,6,6,8,4,4,0,9
29,8,1,4,4,4,2,5,7,7
30,4,1,5,4,6,7,3,1,4
31,7,5,9,8,7,4,5,9,9
32,6,9,6,0,3,0,3,0,4
33,0,8,3,4,5,0,3,9,1
34,2,2,9,3,3,9,3,4,5
35,8,3,1,9,8,4,5,7,9
36,5,6,3,1,5,3,5,4,4
37,8,8,3,5,0,0,5,2,6
38,4,8,8,0,7,8,3,9,1
39,2,4,4,0,5,2,4,9,1
40,0,4,0,6,8,9,4,6,7
41,7,5,1,9,7,0,3,4,2
42,4,8,3,9,2,5,5,3,6
43,3,5,5,5,2,4,5,6,0
44,0,7,8,5,1,6,5,3,2
45,2,4,5,8,5,9,5,5,7
46,5,8,6,7,3,7,4,0,4
47,6,3,0,1,5,7,4,9,8
48,4,5,3,6,7,2,4,4,9
49,8,2,6,1,3,9,5,0,4
50,2,4,8,8,6,1,4,5,6
