S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,Capacity,Target_x,Target_y
1,7,5,9,8,1,9,3,3,5,4,7
2,1,8,1,7,1,0,5,3,4,9,7
3,2,1,4,7,4,3,8,7,4,0,2
4,7,2,4,8,1,3,0,3,4,3,6
5,5,0,3,8,9,4,6,6,4,9,6
6,2,1,5,1,7,9,8,1,3,8,0
7,7,4,1,1,2,4,4,9,4,5,1
8,0,1,0,0,6,7,5,6,5,3,3
9,8,3,2,7,6,3,9,6,5,5,5
10,4,3,5,9,7,7,5,7,5,8,5
11,5,3,5,2,3,2,3,1,3,0,4
12,1,5,2,2,7,5,6,2,3,7,4
13,7,0,6,9,6,7,3,1,5,9,3
14,4,9,6,5,5,2,4,5,5,6,2
15,6,0,0,4,3,6,2,8,3,1,3
16,1,2,1,9,6,0,7,7,5,3,3
17,7,6,1,0,8,0,9,3,3,4,6
18,2,6,7,0,6,8,8,4,3,1,0
19,2,4,8,7,3,0,8,0,3,6,0
20,4,6,0,9,1,5,8,4,3,3,0
21,9,4,4,7,7,0,0,6,4,6,3
22,3,1,3,7,0,5,7,4,5,6,6
23,2,3,4,1,2,2,4,4,5,7,2
24,1,6,3,4,6,0,7,3,3,9,7
25,9,3,4,6,6,0,0,7,3,3,3
26,7,6,3,1,5,7,5,9,4,2,9
27,3,3,0,4,1,1,9,9,5,8,1
28,8,5,6,7,0,7,1,7,5,6,4
29,3,0,1,2,9,4,3,4,3,7,1
30,2,4,5,5,4,3,2,9,4,0,6
31,1,0,2,5,1,1,9,5,4,1,2
32,5,3,0,6,8,4,0,2,5,4,3
33,3,0,5,6,1,4,6,4,5,5,3
34,5,6,2,7,0,5,6,4,4,3,3
35,7,4,2,0,1,9,5,2,5,6,4
36,8,6,9,9,8,3,7,9,3,3,3
37,3,4,4,5,9,4,6,9,4,8,0
38,5,9,9,9,1,7,3,2,4,5,2
39,2,0,4,6,9,3,7,0,4,1,6
40,5,8,7,8,3,0,7,9,3,3,8
41,7,6,5,8,8,9,4,9,5,3,9
42,6,3,1,3,9,8,1,4,5,4,2
43,9,3,7,6,8,0,5,6,3,4,5
44,4,8,8,8,8,2,2,3,3,4,0
45,0,4,7,1,8,7,0,5,3,7,7
46,8,8,5,7,6,3,0,2,3,1,1
47,1,7,4,5,4,3,0,4,3,5,2
48,9,5,3,2,1,1,2,6,3,9,2
49,2,9,2,1,3,7,2,4,5,5,5
50,3,0,7,3,1,6,4,2,4,2,9
