S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,R9_x,R9_y,Capacity,Target_x,Target_y
1,7,2,4,8,3,4,2,0,6,4,9,2,1,0,4,6,9,4,4,6,5
2,5,7,2,4,7,8,0,5,6,4,5,4,8,6,7,6,5,1,5,6,5
3,4,7,3,5,1,2,8,3,8,8,4,3,8,6,1,9,5,7,3,7,1
4,9,2,9,8,5,8,4,3,0,5,1,0,2,4,1,8,6,5,3,8,4
5,6,0,2,8,6,9,3,3,3,8,7,4,1,7,0,0,1,3,3,0,2
6,6,7,8,0,7,5,5,5,8,3,2,4,1,9,2,0,8,8,4,6,6
7,5,9,3,0,7,3,2,6,7,6,8,1,0,5,0,3,8,0,3,1,3
8,2,4,5,9,9,4,8,6,4,0,4,8,6,2,0,5,9,7,4,7,1
9,3,5,8,9,4,0,5,8,9,9,1,2,5,0,7,3,4,9,3,6,3
10,8,2,8,7,4,4,1,4,1,9,7,8,2,2,7,1,3,7,3,0,2
11,1,1,7,4,3,4,0,9,1,6,9,1,6,2,8,0,7,2,3,2,9
12,5,2,4,5,7,9,3,9,2,4,1,6,8,3,0,9,4,9,5,7,7
13,0,8,2,1,4,4,1,7,4,8,8,1,0,4,5,2,8,3,3,5,1
14,4,6,0,5,3,7,7,3,3,0,5,0,5,5,8,1,7,8,3,6,6
15,6,2,7,5,8,4,5,9,5,8,6,1,6,7,7,6,3,5,5,2,0
16,4,2,3,3,3,1,9,7,0,6,5,7,1,7,6,0,0,2,5,1,6
17,0,5,5,8,4,2,9,6,4,3,5,1,7,0,6,4,7,9,4,7,1
18,0,2,6,1,9,8,8,3,0,1,8,5,4,2,6,8,3,1,3,4,9
19,1,4,1,1,8,2,4,1,9,2,3,2,8,9,8,7,4,3,5,7,4
20,3,7,6,1,9,5,2,2,0,9,9,9,5,2,5,8,6,0,4,6,9
21,9,0,8,6,5,1,7,9,1,9,1,2,7,6,2,0,7,1,3,3,5
22,1,8,9,1,1,2,9,6,6,0,8,6,9,0,7,0,1,9,3,4,6
23,0,8,7,8,9,5,0,2,7,1,5,1,3,7,6,2,4,1,4,4,7
24,6,0,4,4,5,8,3,1,8,5,4,5,9,7,6,8,6,7,5,7,8
25,4,8,4,0,7,0,6,5,9,7,1,3,2,7,3,4,6,0,5,6,1
26,5,8,4,6,7,4,7,0,2,3,1,9,6,9,4,3,9,5,5,2,9
27,5,6,3,5,5,4,8,6,2,1,1,8,1,4,3,1,7,8,4,7,2
28,0,3,5,1,3,5,1,7,1,9,0,7,2,5,4,2,4,8,4,8,5
29,6,3,1,5,4,5,4,3,2,8,7,1,9,3,3,1,3,5,5,5,9
30,7,6,7,3,6,2,4,5,2,2,5,2,4,7,4,9,6,9,3,4,4
31,5,5,6,9,3,8,0,1,0,2,8,1,3,4,5,9,6,3,3,0,0
32,8,6,0,3,9,4,3,0,7,2,8,3,0,5,9,8,7,8,4,2,7
33,3,2,9,7,9,3,7,0,3,7,9,0,5,0,6,4,8,9,5,9,6
34,0,7,1,8,7,3,1,9,6,3,3,8,3,1,3,5,2,8,4,6,4
35,6,3,5,9,8,8,9,1,6,8,0,2,0,1,4,8,1,6,3,8,6
36,3,4,4,0,1,6,0,3,6,4,3,0,0,9,0,7,5,7,3,9,3
37,8,8,4,3,8,9,9,9,3,0,9,6,5,0,3,3,0,5,5,4,9
38,3,0,7,9,7,6,9,8,7,4,8,3,8,5,0,9,8,7,3,5,6
39,2,0,1,9,9,0,8,3,6,6,6,4,2,3,2,1,3,0,3,9,4
40,5,5,7,9,6,3,0,1,7,8,9,0,1,9,3,7,7,5,3,6,6
41,4,7,1,3,7,2,0,5,4,2,6,8,4,1,1,8,3,9,3,4,4
42,1,9,5,9,2,1,4,6,8,5,0,4,3,5,2,2,6,7,3,5,3
43,7,1,6,2,7,2,8,6,3,6,6,5,5,9,0,3,4,1,4,0,6
44,2,1,9,0,7,8,5,4,5,3,7,3,2,5,1,9,4,1,4,9,1
45,0,1,7,3,4,2,0,5,9,0,6,3,1,7,2,1,5,8,5,8,3
46,3,4,0,2,4,3,0,1,9,6,9,9,5,7,8,6,3,9,5,4,4
47,6,5,1,7,6,0,4,2,7,6,7,9,1,2,9,6,9,7,3,0,3
48,6,8,8,4,3,3,2,4,2,0,7,3,3,8,1,3,6,9,4,2,5
49,1,3,0,9,0,3,0,7,8,9,4,4,9,8,4,6,7,9,3,0,5
50,5,9,8,8,4,4,7,7,5,0,6,9,7,5,5,8,2,3,4,2,1
