S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y
1,5,3,4,7,0,8,0,11,4,4,8,5,4,6,6,3,11
2,10,9,8,6,5,5,9,9,6,5,9,6,10,1,6,5,1
3,0,13,5,8,1,6,1,4,0,6,3,9,1,8,6,8,14
4,3,0,7,8,0,4,4,5,10,11,1,2,2,9,6,0,6
5,3,4,5,2,5,5,5,12,10,2,8,10,1,5,6,5,6
6,7,2,0,13,4,3,5,6,5,5,4,2,10,6,4,4,14
7,7,2,2,13,0,14,8,9,9,10,5,14,7,0,6,1,3
8,0,11,0,12,1,6,10,6,3,12,0,6,3,5,5,4,14
9,9,13,2,6,10,5,0,10,9,10,5,13,3,9,6,0,3
10,7,6,1,5,3,1,10,1,4,3,7,12,4,8,5,6,13
11,3,8,3,9,8,11,1,1,9,1,3,13,8,6,6,2,6
12,1,8,4,3,2,8,10,0,6,14,0,10,8,4,5,9,0
13,6,11,6,7,4,0,10,1,0,11,7,13,7,9,4,4,14
14,6,5,6,0,7,13,2,13,9,8,0,3,4,14,6,3,5
15,4,4,3,12,0,0,4,1,7,0,9,9,3,13,5,9,12
16,5,13,5,1,6,6,6,14,6,8,6,2,10,0,5,3,1
17,6,0,5,4,4,2,5,7,0,13,6,8,0,9,4,1,10
18,3,3,3,8,4,5,3,12,1,6,6,8,0,5,5,0,4
19,6,9,3,1,0,1,0,3,7,14,9,7,10,3,6,2,1
20,9,11,6,4,10,12,1,2,8,14,9,4,8,9,4,4,14
21,7,9,9,14,7,11,5,3,2,4,10,14,2,2,4,2,11
22,4,6,8,12,3,12,9,12,7,4,0,11,3,10,6,1,2
23,10,11,4,7,2,2,3,0,7,7,0,13,7,13,5,3,5
24,2,12,5,14,8,3,9,3,9,14,2,0,7,11,4,5,1
25,3,0,10,8,9,11,0,9,9,9,1,11,5,7,4,2,8
26,6,13,3,0,4,2,1,3,1,2,7,9,2,2,4,3,10
27,7,2,6,11,2,1,1,0,9,12,10,8,8,0,4,1,11
28,7,1,3,5,2,2,5,6,7,13,8,8,9,1,4,0,3
29,10,9,7,8,7,0,5,12,4,5,5,8,7,11,5,9,1
30,0,5,6,11,7,13,7,8,10,13,1,6,0,8,4,8,13
31,6,0,10,5,10,8,9,0,1,2,5,9,7,4,4,3,1
32,5,1,9,6,3,2,4,3,7,0,8,10,8,7,5,7,6
33,2,9,6,1,0,1,9,14,0,9,4,4,4,1,4,0,4
34,10,12,2,7,6,3,3,8,7,1,2,12,3,13,4,0,2
35,6,7,7,9,7,8,3,13,5,9,10,5,5,6,5,1,3
36,5,10,4,7,8,2,7,7,5,14,4,3,4,1,4,7,9
37,4,8,10,2,0,9,5,5,2,3,1,4,3,12,4,8,12
38,3,14,3,11,8,12,6,7,8,13,10,0,8,4,6,3,3
39,5,4,0,2,2,10,0,3,0,12,6,13,8,7,4,5,14
40,4,11,4,7,3,2,1,11,7,4,1,3,10,0,5,0,9
41,8,9,8,7,8,11,10,11,3,0,4,8,8,12,4,1,6
42,4,6,6,12,3,2,8,8,2,7,8,12,8,2,5,9,1
43,3,1,8,2,0,0,8,3,4,10,4,9,10,2,5,5,2
44,6,5,8,5,0,9,8,3,0,4,2,7,4,6,5,2,2
45,1,13,10,12,8,8,8,13,0,8,5,11,2,0,6,6,2
46,0,12,9,10,8,11,3,6,4,10,2,9,4,7,4,0,1
47,5,2,1,7,2,13,3,4,5,3,2,6,8,0,6,8,6
48,0,7,8,6,8,12,10,10,9,9,6,12,4,10,6,4,4
49,6,8,5,6,4,1,7,4,9,13,2,9,10,14,5,7,2
50,3,12,5,10,1,2,1,13,9,14,2,12,2,8,4,9,9
