S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y
1,8,3,8,0,0,3,6,4,0,4,11,4,0,6,8,9,6,2,0
2,7,10,7,7,4,4,0,11,0,10,6,1,4,9,8,0,6,9,2
3,1,7,4,10,5,8,1,6,3,1,1,8,11,4,1,5,5,2,3
4,7,3,7,5,2,6,4,5,11,11,1,1,2,7,7,10,5,9,11
5,11,2,11,1,0,2,10,8,2,7,4,8,7,8,10,2,6,0,3
6,0,6,0,5,10,3,11,4,1,10,11,2,6,10,0,10,6,5,0
7,1,10,1,9,4,2,11,10,5,9,6,6,6,10,8,2,5,10,3
8,4,3,7,8,6,3,5,2,7,4,10,4,5,3,0,0,6,3,4
9,0,11,6,3,8,9,11,1,6,2,8,3,3,4,2,8,6,10,9
10,1,7,3,3,11,7,3,5,4,2,3,10,9,8,3,11,4,8,1
11,0,8,3,0,10,7,3,11,4,5,9,5,3,10,11,8,6,8,4
12,1,10,2,9,0,9,10,6,6,10,7,3,3,11,5,7,6,8,11
13,0,7,11,4,3,10,4,7,0,2,11,6,11,10,6,11,5,9,10
14,0,8,0,3,7,1,4,0,10,5,5,10,0,10,5,8,5,1,5
15,3,11,11,4,10,1,5,0,0,9,1,2,7,6,11,5,6,11,2
16,0,11,8,5,9,5,1,1,6,7,11,2,0,6,4,9,6,11,3
17,9,11,7,8,9,4,6,5,9,2,0,2,9,6,9,8,5,9,10
18,5,9,4,1,0,10,10,0,10,10,3,0,2,10,8,2,5,5,2
19,10,1,3,11,0,8,8,7,6,2,11,2,7,3,10,7,6,0,9
20,6,5,11,2,3,5,1,3,4,7,7,9,9,4,1,10,5,1,8
21,1,2,1,4,4,9,4,0,5,10,1,11,1,5,8,3,5,11,4
22,9,4,11,6,0,8,7,8,5,0,7,6,9,6,9,10,5,11,10
23,7,6,2,5,11,2,8,6,1,0,4,9,9,1,1,6,5,4,5
24,11,11,10,1,9,0,3,9,10,4,7,11,8,2,5,7,6,3,6
25,6,9,1,10,5,2,0,9,11,11,2,10,9,6,4,10,5,3,9
26,8,0,5,9,4,2,3,6,5,4,4,7,6,0,5,10,4,1,5
27,5,1,2,10,7,10,5,9,1,4,10,5,7,1,2,2,5,10,11
28,6,11,9,7,9,2,6,10,0,11,3,2,11,1,11,0,5,5,4
29,6,9,10,7,2,0,5,6,5,11,9,9,7,2,9,2,6,10,1
30,2,9,0,6,10,0,6,2,7,11,6,4,10,2,1,3,5,11,3
31,9,8,3,8,7,11,5,6,3,0,4,3,1,8,2,0,6,4,9
32,5,2,5,11,8,3,7,0,9,5,0,10,1,1,4,8,5,11,1
33,3,2,6,8,7,4,2,8,2,6,10,4,6,4,4,10,5,4,2
34,1,9,3,9,1,6,3,6,8,11,4,7,6,1,4,5,5,10,5
35,2,9,8,5,10,0,6,3,3,0,3,6,5,10,8,11,5,1,1
36,8,6,11,10,10,1,9,7,7,5,7,0,2,4,9,4,4,8,10
37,9,0,6,7,2,2,6,2,4,6,8,4,0,4,11,11,6,3,4
38,6,8,1,9,0,0,1,4,1,6,3,7,11,8,11,7,5,11,0
39,7,8,11,8,9,8,1,11,6,3,10,2,10,4,6,7,4,8,9
40,6,3,1,4,1,11,9,8,3,7,5,2,4,11,0,4,5,7,9
41,5,7,10,1,8,11,0,7,11,0,2,9,5,10,10,0,5,6,3
42,6,2,7,8,6,5,3,1,7,0,1,2,4,11,0,4,5,10,11
43,9,7,5,11,1,1,5,7,5,3,8,1,11,6,1,2,6,8,11
44,7,4,6,0,4,0,5,0,4,9,9,9,9,6,1,9,5,11,1
45,1,7,1,2,8,4,9,1,7,8,9,5,6,6,9,3,4,6,1
46,7,3,3,6,2,6,6,5,7,1,3,4,10,2,1,8,5,5,10
47,11,2,8,7,2,2,8,11,11,6,2,9,11,4,7,4,4,6,6
48,7,5,3,1,6,9,9,10,5,5,3,6,9,1,9,3,5,2,9
49,4,2,3,2,7,4,7,11,6,7,9,6,5,3,0,7,5,1,5
50,5,9,11,1,11,7,7,4,4,4,9,1,3,9,5,8,4,6,4
