S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y
1,8,11,10,2,3,7,1,10,11,17,7,6,5
2,7,11,11,13,2,6,0,14,6,0,6,0,13
3,5,9,0,3,9,0,9,6,3,7,5,1,11
4,2,15,2,4,1,6,6,17,10,13,6,1,5
5,11,6,6,11,0,7,10,10,10,11,7,2,12
6,0,5,2,14,3,14,11,13,4,9,5,11,11
7,4,11,1,11,1,3,7,6,9,11,7,8,12
8,7,4,3,15,3,6,10,8,4,7,5,0,7
9,1,1,8,6,10,11,7,1,0,9,6,1,13
10,4,16,7,15,5,14,2,17,2,12,5,9,8
11,4,17,8,4,2,7,5,12,10,16,7,9,17
12,8,8,6,17,8,13,6,2,1,1,7,2,1
13,10,1,2,0,6,9,3,15,8,13,7,7,0
14,6,11,10,10,9,11,9,1,3,16,6,10,14
15,0,4,7,16,0,0,10,12,11,3,6,4,15
16,10,13,6,6,4,4,11,15,9,15,7,4,8
17,8,17,8,15,1,11,4,12,11,16,7,11,2
18,2,13,8,1,0,6,3,11,3,8,7,4,17
19,7,5,5,1,4,10,3,12,1,14,6,8,13
20,9,10,2,5,10,16,11,2,8,4,6,0,0
21,3,2,5,10,11,12,6,5,5,9,6,7,8
22,11,8,6,0,9,2,2,3,4,0,6,5,11
23,2,9,9,13,6,4,5,15,2,3,5,4,5
24,9,3,5,5,8,13,3,4,4,6,5,9,16
25,6,16,0,16,7,2,1,10,6,10,5,5,9
26,6,14,0,9,10,15,11,5,6,0,5,6,6
27,7,11,8,14,9,12,11,8,1,0,7,7,0
28,6,17,7,0,4,4,11,12,6,11,7,2,6
29,7,14,10,13,5,2,10,0,11,10,5,3,11
30,3,16,2,16,4,11,10,10,9,12,7,4,7
31,11,2,7,0,1,7,11,0,5,10,6,6,13
32,8,13,9,11,2,8,4,17,11,14,7,8,9
33,7,3,3,7,6,6,4,5,2,8,5,4,0
34,8,12,4,4,9,12,2,12,8,16,7,9,4
35,3,7,8,14,7,16,6,2,2,5,6,2,9
36,11,6,1,4,2,17,3,9,7,7,6,2,16
37,10,16,2,15,10,1,11,11,3,11,5,6,9
38,4,1,10,16,5,14,9,13,2,16,5,5,9
39,3,12,4,17,3,5,7,10,6,9,5,0,6
40,8,11,3,11,4,11,5,8,5,2,5,1,9
41,2,6,10,0,5,12,10,10,7,13,6,5,16
42,9,1,2,10,4,9,5,0,9,3,5,8,2
43,7,16,3,5,10,7,3,4,3,6,6,2,5
44,1,5,3,1,2,3,4,14,0,17,6,4,13
45,7,6,4,12,2,12,5,5,0,8,6,4,11
46,0,0,10,3,6,11,8,11,11,16,5,9,8
47,11,10,11,12,5,3,0,5,7,7,5,2,13
48,4,17,8,8,6,3,11,7,3,7,7,6,16
49,1,9,11,8,11,6,7,2,7,13,6,1,10
50,4,7,8,14,4,16,10,3,11,12,5,3,11
