S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,Capacity,Target_x,Target_y
1,0,16,8,14,2,7,3,5,1,12,5,5,5,10,7
2,10,9,1,5,5,2,10,3,7,4,3,12,6,2,6
3,0,7,5,13,2,7,5,1,4,9,9,15,7,8,14
4,10,13,9,11,7,15,2,5,7,9,2,9,6,5,1
5,3,16,9,11,10,5,3,3,8,1,7,16,7,3,4
6,9,17,5,8,11,13,10,6,5,9,9,4,7,8,10
7,1,16,6,7,11,4,11,15,5,10,5,5,5,6,6
8,0,15,6,0,7,12,3,5,7,10,4,13,6,3,6
9,4,1,3,17,0,17,9,11,10,14,1,0,7,8,0
10,5,5,9,9,5,9,7,8,2,12,10,5,7,2,3
11,4,14,4,3,9,5,5,2,6,12,8,4,6,7,17
12,0,8,6,5,2,13,3,12,1,16,3,8,6,2,4
13,1,14,7,11,3,14,7,3,6,12,4,15,6,3,16
14,10,5,2,11,4,11,2,9,1,10,6,16,5,5,6
15,7,3,5,10,10,8,1,8,9,14,5,1,6,10,2
16,6,0,11,0,4,15,6,2,9,13,1,5,6,4,8
17,6,13,1,7,9,15,8,7,10,4,6,12,5,5,13
18,8,9,6,14,5,11,1,4,9,13,6,0,6,5,3
19,8,17,0,2,10,10,2,7,11,4,10,5,7,11,3
20,7,14,8,8,2,10,2,9,9,5,5,11,6,0,9
21,8,5,5,5,3,12,8,17,11,1,3,7,6,9,14
22,10,1,11,14,6,5,8,10,10,12,0,11,5,11,1
23,11,6,4,4,6,7,5,13,7,16,3,1,5,10,8
24,10,6,4,8,5,0,11,2,2,7,2,14,5,2,3
25,7,3,5,1,4,14,4,9,7,16,1,3,7,3,1
26,1,5,4,2,0,8,7,8,8,3,10,8,7,8,0
27,1,15,11,7,8,11,10,13,8,12,6,10,7,2,17
28,11,15,2,2,2,10,11,16,2,1,5,3,7,0,3
29,2,16,5,11,2,3,3,12,7,7,2,5,6,3,4
30,6,11,7,9,9,1,6,13,10,17,6,12,5,9,13
31,10,0,4,2,3,11,6,5,10,2,0,11,5,8,6
32,9,12,1,0,8,13,11,8,1,17,11,12,6,7,13
33,1,16,9,11,8,2,10,4,1,5,2,15,7,2,9
34,8,4,11,14,0,5,3,0,2,10,11,2,6,4,4
35,8,10,11,1,11,11,4,5,7,7,6,17,5,6,12
36,10,13,4,10,11,8,9,1,7,6,5,7,6,11,17
37,1,16,3,5,8,16,10,11,5,13,5,17,7,9,12
38,6,15,4,2,4,1,3,6,11,3,10,11,6,7,6
39,11,0,7,14,5,13,6,17,11,4,3,12,5,6,6
40,7,13,1,10,10,4,8,11,1,15,1,9,7,5,5
41,11,5,10,10,2,3,3,4,6,0,1,7,7,10,3
42,0,7,4,12,9,1,6,4,1,9,7,14,7,4,11
43,1,14,8,2,7,8,2,16,9,15,0,16,7,11,1
44,9,10,5,16,10,13,5,4,1,6,10,17,5,1,2
45,1,17,5,6,6,17,10,9,9,9,10,5,7,4,3
46,3,9,0,8,3,17,4,7,11,10,7,17,6,9,17
47,2,3,2,7,3,17,1,17,10,6,4,0,5,5,14
48,2,9,8,17,0,10,1,10,6,11,4,7,5,5,16
49,7,12,8,4,10,10,8,7,3,5,9,2,7,7,16
50,5,6,9,16,11,5,9,11,8,0,2,7,6,9,2
