S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,Capacity,Target_x,Target_y,StationCount,Station_1_x,Station_1_y,Station_2_x,Station_2_y,Station_3_x,Station_3_y,Station_4_x,Station_4_y,Station_5_x,Station_5_y,Station_6_x,Station_6_y,Station_7_x,Station_7_y,Station_8_x,Station_8_y,Station_9_x,Station_9_y,Station_10_x,Station_10_y,Station_11_x,Station_11_y,Station_12_x,Station_12_y,Station_13_x,Station_13_y,Station_14_x,Station_14_y,Station_15_x,Station_15_y,Station_16_x,Station_16_y,Station_17_x,Station_17_y,Station_18_x,Station_18_y,Station_19_x,Station_19_y,Station_20_x,Station_20_y,Station_21_x,Station_21_y,Station_22_x,Station_22_y,Station_23_x,Station_23_y,Station_24_x,Station_24_y,Station_25_x,Station_25_y,Station_26_x,Station_26_y,Station_27_x,Station_27_y,Station_28_x,Station_28_y,Station_29_x,Station_29_y,Station_30_x,Station_30_y,Station_31_x,Station_31_y,Station_32_x,Station_32_y,Station_33_x,Station_33_y,Station_34_x,Station_34_y,Station_35_x,Station_35_y,Station_36_x,Station_36_y,Station_37_x,Station_37_y,Station_38_x,Station_38_y,Station_39_x,Station_39_y,Station_40_x,Station_40_y,Station_41_x,Station_41_y,Station_42_x,Station_42_y,Station_43_x,Station_43_y,Station_44_x,Station_44_y,Station_45_x,Station_45_y,Station_46_x,Station_46_y,Station_47_x,Station_47_y,Station_48_x,Station_48_y,Station_49_x,Station_49_y
1,2,16,8,13,3,11,2,8,2,11,6,9,0,5,2.0,10.0,3.0,5.0,4.0,0.0,8.0,7.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,3,3,3,3,16,0,9,1,7,5,0,5,2,3.0,11.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,8,11,0,3,13,0,4,4,8,6,7,7,2,3.0,7.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,9,11,9,9,4,8,14,12,16,7,8,3,2,12.0,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,9,7,15,4,4,7,8,6,5,6,1,14,3,5.0,9.0,1.0,11.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,4,12,12,3,5,9,11,5,5,5,7,6,2,12.0,7.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,2,5,16,9,10,2,8,12,5,6,3,3,3,8.0,3.0,5.0,10.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,15,12,3,7,12,9,4,6,1,7,7,4,3,1.0,8.0,4.0,4.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,0,6,16,11,15,10,5,3,2,6,3,15,5,4.0,0.0,4.0,5.0,3.0,5.0,3.0,11.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,5,10,0,12,6,4,11,1,8,7,4,4,1,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
